horse,num_top10_courses,course
Footsy (GB),1,Doncaster
For Ayman (GB),1,Newmarket
For The Trees (IRE),1,Newmarket
Forager (GB),1,Newmarket
Forbearance (IRE),1,Newmarket
Forbidden Colours (IRE),1,Newmarket
Forbidden Land (IRE),1,Doncaster
Forca Brasil (IRE),1,Newmarket
Forca Timao (IRE),2,"Doncaster, Newmarket"
Force Eleven (GB),1,Doncaster
Forceful Speed (IRE),2,"Doncaster, Newmarket"
Ford Madox Brown (GB),1,Doncaster
Foresee (GER),1,Doncaster
Foreseeable Future (FR),1,Doncaster
Foreseen (GB),1,Newmarket
Foreshore (GB),1,Doncaster
Foresight (FR),1,Doncaster
Forest Caper (GB),1,Doncaster
Forest Falcon (IRE),2,"Doncaster, Newmarket"
Forest Of Dean (GB),1,Doncaster
Forest Ranger (IRE),1,Newmarket
Forest Spirit (IRE),1,Doncaster
Forever Blue (GB),1,Newmarket
Forever Excel (IRE),1,Newmarket
Forever Forward (IRE),1,Newmarket
Forever Grateful (IRE),2,"Doncaster, Newmarket"
Forever Mine (GB),1,Doncaster
Forever My Prince (GB),1,Newmarket
Forever Now (GB),1,Newmarket
Forever Popular (USA),2,"Doncaster, Newmarket"
Forever True (IRE),1,Newmarket
Forewarning (GB),1,Doncaster
Forge (GB),2,"Doncaster, Newmarket"
Forge Valley Lad (GB),1,Newmarket
Forgivable (GB),1,Doncaster
Forgotten Hero (IRE),2,"Doncaster, Newmarket"
Forgotten Treasure (GB),1,Doncaster
Forgotten Voice (IRE),1,Doncaster
Forgotten Wish (IRE),1,Newmarket
Forlio (GB),1,Doncaster
Form Of Praise (IRE),1,Doncaster
Formal (GB),1,Newmarket
Formality (GB),2,"Doncaster, Newmarket"
Formby (GB),1,Doncaster
Formidable Don (IRE),1,Newmarket
Formidable Kitt (GB),1,Newmarket
Fort Bastion (IRE),1,Doncaster
Fort Campbell (USA),1,Doncaster
Fort George (GB),1,Newmarket
Fort Jefferson (GB),1,Newmarket
Fortamour (IRE),1,Doncaster
Forte (GB),1,Newmarket
Fortinbrass (IRE),1,Doncaster
Fortis Regina (GB),1,Newmarket
Fortitude (IRE),1,Doncaster
Fortuitous Star (IRE),1,Doncaster
Fortultous (GB),1,Newmarket
Fortunate Star (IRE),1,Doncaster
Fortunate Vision (GB),1,Doncaster
Fortune Of War (GB),1,Newmarket
Fortune Patrol (IRE),1,Doncaster
Forty Four Sunsets (FR),1,Newmarket
Forty Years On (IRE),1,Doncaster
Forward Flight (IRE),1,Newmarket
Forward Thinker (GB),1,Newmarket
Forza Orta (IRE),1,Doncaster
Foundation (IRE),2,"Doncaster, Newmarket"
Founding Father (FR),1,Newmarket
Fountain Cross (GB),2,"Doncaster, Newmarket"
Four Dragons (GB),1,Doncaster
Four Fifty (GB),1,Doncaster
Four Kingdoms (IRE),1,Doncaster
Four Mile Beach (GB),1,Doncaster
Four Mile Bridge (IRE),2,"Doncaster, Newmarket"
Four On Eight (GB),1,Newmarket
Four Wishes (GB),1,Doncaster
Fouroneohfever (IRE),2,"Doncaster, Newmarket"
Fours Company (IRE),1,Doncaster
Fourshadesofsilver (GB),1,Newmarket
Foursome (GB),1,Doncaster
Fourth Way (IRE),2,"Doncaster, Newmarket"
Foveros (FR),1,Newmarket
Fox Champion (IRE),2,"Doncaster, Newmarket"
Fox Flame (GB),1,Doncaster
Fox Journey (GB),2,"Doncaster, Newmarket"
Fox Legacy (GB),2,"Doncaster, Newmarket"
Fox Leicester (IRE),2,"Doncaster, Newmarket"
Fox Power (IRE),2,"Doncaster, Newmarket"
Fox Shinji (GB),1,Doncaster
Fox Tal (GB),2,"Doncaster, Newmarket"
Fox Trotter (IRE),2,"Doncaster, Newmarket"
Fox Vardy (USA),1,Newmarket
Foxtrot (GB),1,Newmarket
Foxtrot Knight (GB),1,Doncaster
Foxtrot Lady (GB),2,"Doncaster, Newmarket"
Foxtrot Romeo (IRE),2,"Doncaster, Newmarket"
Foxtrot Sizzler (GER),1,Doncaster
Foxy Forever (IRE),2,"Doncaster, Newmarket"
Foxys Spirit (GB),1,Doncaster
Fractional (GB),1,Doncaster
Fragrance (GB),1,Newmarket
Fragrant Dawn (GB),1,Newmarket
Fragrant Storm (GB),1,Newmarket
Framley Garth (IRE),1,Doncaster
Frances Ethel (SAF),1,Newmarket
Francesco Baracca (GB),1,Newmarket
Francesco Clemente (IRE),1,Newmarket
Francesco Guardi (IRE),1,Newmarket
Francis Drake (IRE),1,Doncaster
Francis Meynell (IRE),1,Doncaster
Francis Xavier (IRE),1,Doncaster
Francisco (GB),1,Newmarket
Francisco Bay (GB),1,Doncaster
FranciscoI (GB),1,Newmarket
Franciscos Piece (GB),1,Doncaster
Franco Grasso (GB),2,"Doncaster, Newmarket"
Franconia (GB),1,Newmarket
Francophone (GB),2,"Doncaster, Newmarket"
Frangarry (IRE),1,Doncaster
Frank Bridge (GB),1,Newmarket
Frank Rogers (GB),1,Doncaster
Frank The Spark (GB),1,Doncaster
Frankelio (FR),1,Doncaster
Frankels Storm (GB),1,Doncaster
Frankendael (GB),1,Doncaster
Frankies Dream (IRE),1,Doncaster
Frankini (IRE),1,Newmarket
Franklin D (USA),1,Newmarket
Frankly Mr Shankly (GER),2,"Doncaster, Newmarket"
Frankness (GB),2,"Doncaster, Newmarket"
Frankuus (IRE),1,Newmarket
Frantanck (GB),1,Newmarket
Frantastic (GB),1,Doncaster
Frantoio (GB),2,"Doncaster, Newmarket"
Franz Kafka (IRE),2,"Doncaster, Newmarket"
Fraser Island (IRE),1,Newmarket
Fraternity (IRE),1,Doncaster
Fray (GB),1,Doncaster
Freak Out (IRE),1,Newmarket
Freddy Robinson (GB),1,Doncaster
Frederic (GB),1,Newmarket
Fredricka (GB),1,Doncaster
Free Bounty (GB),2,"Doncaster, Newmarket"
Free Cash (IRE),1,Doncaster
Free Code (IRE),2,"Doncaster, Newmarket"
Free Love (GB),1,Doncaster
Free Nation (GB),1,Doncaster
Free Passage (GB),1,Newmarket
Free Solo (IRE),1,Newmarket
Free Step (IRE),2,"Doncaster, Newmarket"
Free Wind (IRE),1,Doncaster
Freed From Desire (GB),1,Doncaster
Freedom Day (IRE),1,Doncaster
Freedom Flyer (IRE),1,Doncaster
Freerolling (GB),1,Doncaster
Freetodream (GB),1,Newmarket
Freewheel (IRE),2,"Doncaster, Newmarket"
Freewheelin (GB),1,Doncaster
Fregola (GB),1,Newmarket
Freight Train (IRE),2,"Doncaster, Newmarket"
French (GB),1,Doncaster
French Affair (IRE),1,Newmarket
French Battle (USA),1,Newmarket
French Claim (FR),1,Doncaster
French Duke (IRE),1,Newmarket
French Flyer (IRE),1,Doncaster
French Haven (GB),1,Newmarket
French Heroine (GB),2,"Doncaster, Newmarket"
French Martini (FR),1,Doncaster
French Master (IRE),2,"Doncaster, Newmarket"
French Navy (GB),1,Newmarket
French Resistance (IRE),1,Doncaster
French Riviera (FR),1,Newmarket
Frenchie (GB),1,Doncaster
Frenetic (IRE),1,Doncaster
Frenzified (GB),2,"Doncaster, Newmarket"
Frequency Code (FR),1,Doncaster
Frequent Flyer (IRE),1,Doncaster
Frescobaldi (IRE),1,Doncaster
Fresh (GB),2,"Doncaster, Newmarket"
Fresh Hope (GB),1,Doncaster
Fresh Terms (GB),1,Doncaster
Freyabella (GB),1,Newmarket
Freyja (IRE),2,"Doncaster, Newmarket"
Friday Fizz (IRE),1,Doncaster
Friday Night Light (FR),1,Newmarket
Friendly Soul (GB),1,Newmarket
Frightened Rabbit (USA),1,Doncaster
Frog And Toad (IRE),1,Doncaster
Frontiersman (GB),2,"Doncaster, Newmarket"
Frontispiece (GB),2,"Doncaster, Newmarket"
Frontline Phantom (IRE),1,Doncaster
Frost At Dawn (USA),2,"Doncaster, Newmarket"
Frosted Lass (GB),1,Doncaster
Frostmagic (IRE),1,Doncaster
Frosty (IRE),1,Newmarket
Frosty Berry (GB),1,Doncaster
Frosty The Snowman (IRE),1,Doncaster
Frow (IRE),1,Doncaster
Frozen Lake (USA),2,"Doncaster, Newmarket"
Frozon (GB),1,Doncaster
Fruit Pastille (GB),1,Newmarket
Fruit Salad (GB),1,Doncaster
Fruition (GB),2,"Doncaster, Newmarket"
Fryerns (GB),1,Newmarket
Fuego (GB),1,Doncaster
Fuel The Fire (IRE),1,Doncaster
Fujaira King (USA),1,Newmarket
Fujaira Prince (IRE),1,Doncaster
Fujimoto Flyer (JPN),1,Newmarket
Full Authority (IRE),2,"Doncaster, Newmarket"
Full Day (GB),1,Newmarket
Full Intention (GB),1,Newmarket
Full Moon Rising (GB),1,Newmarket
Full Of Promise (GB),1,Doncaster
Full Strength (GB),1,Doncaster
Full Tilt Lad (IRE),1,Doncaster
Full Verse (IRE),2,"Doncaster, Newmarket"
Fullofbrightideas (GB),1,Newmarket
Fullon Clarets (GB),2,"Doncaster, Newmarket"
Fully Deployed (GB),1,Newmarket
Fumbleinthejungle (GB),1,Doncaster
Fumbo Jumbo (IRE),2,"Doncaster, Newmarket"
Fume (IRE),1,Doncaster
Fun Mac (GER),2,"Doncaster, Newmarket"
Funalltheway (IRE),1,Doncaster
Fundamental (GB),1,Newmarket
Funding Deficit (IRE),1,Doncaster
Funkadelic (GB),1,Doncaster
Funky Footsteps (IRE),2,"Doncaster, Newmarket"
Funny Man (GB),1,Doncaster
Funny Money Honey (IRE),1,Doncaster
Funny Story (GB),1,Newmarket
Furia Cruzada (CHI),1,Newmarket
Furiant (GB),1,Doncaster
Furious (GB),1,Newmarket
Furni Factors (GB),1,Doncaster
Furniture Factors (IRE),1,Doncaster
Further Measure (USA),1,Newmarket
Furthur (IRE),2,"Doncaster, Newmarket"
Fury (GB),1,Doncaster
Furyan (GB),1,Doncaster
Furzig (GB),1,Doncaster
Futoon (IRE),2,"Doncaster, Newmarket"
Future Empire (GB),1,Doncaster
Future Investment (GB),2,"Doncaster, Newmarket"
Future Vision (GB),1,Newmarket
Futuristic (IRE),1,Doncaster
Fuwairt (IRE),1,Doncaster
Fyrecracker (IRE),1,Doncaster
G Force (IRE),1,Doncaster
G K Chesterton (IRE),2,"Doncaster, Newmarket"
GDaay (GB),1,Doncaster
GDay Aussie (GB),1,Doncaster
