sire_id,sire,wins,runs,places,turf_pct,avg_dist,avg_class,avg_or,win_rate,place_rate,turf_win_rate,aw_win_rate,surface_preference,sprint_win_rate,mile_win_rate,middle_win_rate,staying_win_rate,best_distance_band,firm_win_rate,good_win_rate,soft_win_rate,heavy_win_rate,class1_win_rate,class2_win_rate,class3_win_rate,class4_win_rate
723341,Air Chief Marshal (IRE),2,21,4,0.8571428571428571,10.214285714285714,3.3333333333333335,80.52631578947368,0.09523809523809523,0.19047619047619047,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.25,0.14285714285714285,middle,0.25,0.0,0.5,0.09523809523809523,0.09523809523809523,0.16666666666666666,0.0,0.07692307692307693
723367,Cape Blanco (IRE),10,97,32,0.7422680412371134,9.438144329896907,3.3195876288659796,81.85333333333334,0.10309278350515463,0.32989690721649484,0.1111111111111111,0.08,0.031111111111111103,0.058823529411764705,0.0851063829787234,0.15789473684210525,0.19047619047619047,staying,0.15384615384615385,0.09523809523809523,0.0,0.0,0.0,0.0,0.14285714285714285,0.125
726295,Starspangledbanner (AUS),193,1686,578,0.7758007117437722,6.946026097271649,3.1032028469750887,84.0821068938807,0.11447212336892053,0.3428232502965599,0.1154434250764526,0.1111111111111111,0.004332313965341492,0.11818181818181818,0.11688311688311688,0.10270270270270271,0.0,sprint,0.1425,0.10679611650485436,0.1024390243902439,0.09803921568627451,0.11224489795918367,0.06583072100313479,0.12937062937062938,0.12768361581920903
727653,Quality Road (USA),12,106,31,0.46226415094339623,8.25,3.292452830188679,85.31818181818181,0.11320754716981132,0.29245283018867924,0.14285714285714285,0.08771929824561403,0.05513784461152882,0.13953488372093023,0.109375,0.1,0.0,sprint,0.16666666666666666,0.0945945945945946,0.16666666666666666,0.0,0.1,0.14285714285714285,0.17647058823529413,0.09230769230769231
729805,Red Jazz (USA),17,213,60,0.8403755868544601,7.122065727699531,3.1784037558685445,82.48850574712644,0.07981220657276995,0.28169014084507044,0.0782122905027933,0.08823529411764706,-0.010023003614853768,0.09032258064516129,0.04819277108433735,0.06896551724137931,0.0,sprint,0.1111111111111111,0.064,0.07142857142857142,0.16666666666666666,0.05263157894736842,0.06976744186046512,0.03125,0.10084033613445378
731600,Alfred Nobel (IRE),8,128,33,0.8828125,6.72265625,3.375,79.3125,0.0625,0.2578125,0.05309734513274336,0.13333333333333333,-0.08023598820058997,0.05714285714285714,0.06,0.2,0.0,middle,0.07407407407407407,0.060240963855421686,0.0,0.3333333333333333,0.0,0.05555555555555555,0.07692307692307693,0.0641025641025641
732354,Canford Cliffs (IRE),91,1040,307,0.6884615384615385,8.200961538461538,3.1807692307692306,84.11981566820276,0.0875,0.2951923076923077,0.08379888268156424,0.09567901234567901,-0.011880129664114766,0.10231660231660232,0.0826271186440678,0.06857142857142857,0.10884353741496598,staying,0.08837209302325581,0.09246088193456614,0.06481481481481481,0.0,0.0379746835443038,0.08823529411764706,0.10144927536231885,0.0890909090909091
732364,Frozen Power (IRE),25,304,93,0.6447368421052632,7.470394736842105,3.424342105263158,82.21455938697318,0.08223684210526316,0.3059210526315789,0.08163265306122448,0.08333333333333333,-0.0017006802721088454,0.07575757575757576,0.07766990291262135,0.11538461538461539,0.12,staying,0.13043478260869565,0.06989247311827956,0.0,0.0,0.0,0.08888888888888889,0.05172413793103448,0.09375
733304,Siyouni (FR),168,1545,565,0.7229773462783171,8.154045307443365,2.925566343042071,87.35100401606425,0.1087378640776699,0.3656957928802589,0.10295434198746643,0.12383177570093458,-0.020877433713468146,0.10074074074074074,0.11409395973154363,0.11594202898550725,0.10687022900763359,middle,0.1105121293800539,0.1157684630738523,0.07913669064748201,0.0,0.09322033898305085,0.1,0.10661764705882353,0.11908177905308465
733706,Arcano (IRE),132,1155,348,0.7515151515151515,7.761038961038961,3.0588744588744587,85.05463414634146,0.11428571428571428,0.3012987012987013,0.11175115207373272,0.12195121951219512,-0.010200067438462398,0.10197368421052631,0.1228813559322034,0.12015503875968993,0.0975609756097561,mile,0.1284722222222222,0.10911602209944751,0.12605042016806722,0.041666666666666664,0.09302325581395349,0.11552346570397112,0.09090909090909091,0.12959381044487428
734508,Rajsaman (FR),3,56,15,0.48214285714285715,10.080357142857142,3.517857142857143,78.80434782608695,0.05357142857142857,0.26785714285714285,0.037037037037037035,0.06896551724137931,-0.031928480204342274,0.0,0.0,0.07894736842105263,0.0,middle,0.1111111111111111,0.045454545454545456,0.0,0.05357142857142857,0.0,0.0,0.15384615384615385,0.02702702702702703
735135,Xtension (IRE),9,46,18,0.34782608695652173,8.445652173913043,3.369565217391304,83.48780487804878,0.1956521739130435,0.391304347826087,0.125,0.23333333333333334,-0.10833333333333334,0.15789473684210525,0.16129032258064516,0.18181818181818182,0.5,staying,0.3333333333333333,0.1794871794871795,0.0,0.1956521739130435,0.1956521739130435,0.4166666666666667,0.2,0.10344827586206896
735822,Dick Turpin (IRE),24,279,82,0.8136200716845878,8.370967741935484,3.390681003584229,80.92444444444445,0.08602150537634409,0.2939068100358423,0.1013215859030837,0.019230769230769232,0.08209081667231446,0.07894736842105263,0.049019607843137254,0.11570247933884298,0.15789473684210525,staying,0.13513513513513514,0.055900621118012424,0.13513513513513514,0.0,0.16666666666666666,0.0625,0.07692307692307693,0.0847457627118644
736110,Showcasing (GB),311,2954,927,0.7532159783344617,6.5489167230873395,3.1960054163845633,82.68091954022988,0.1052809749492214,0.3138117806364252,0.10516853932584269,0.1056241426611797,-0.00045560333533700703,0.10772442588726514,0.08870116156282999,0.09239130434782608,0.07462686567164178,sprint,0.09749303621169916,0.10950080515297907,0.10932475884244373,0.04838709677419355,0.10625,0.09977827050997783,0.09941520467836257,0.10838323353293414
737653,Vale Of York (IRE),12,228,61,0.7631578947368421,7.2105263157894735,3.276315789473684,81.5668202764977,0.05263157894736842,0.2675438596491228,0.05747126436781609,0.037037037037037035,0.020434227330779056,0.025974025974025976,0.09523809523809523,0.037037037037037035,0.04,mile,0.06896551724137931,0.04477611940298507,0.06896551724137931,0.0,0.14285714285714285,0.058823529411764705,0.03636363636363636,0.048
737740,Elusive Pimpernel (USA),5,75,15,0.7466666666666667,8.14,3.3333333333333335,81.55737704918033,0.06666666666666667,0.2,0.07142857142857142,0.05263157894736842,0.018796992481203006,0.16666666666666666,0.07142857142857142,0.0,0.0,sprint,0.058823529411764705,0.0851063829787234,0.0,0.0,0.25,0.0,0.0,0.08888888888888889
737744,Poets Voice (GB),171,1636,552,0.7616136919315404,8.005501222493887,3.2689486552567235,82.14567526555388,0.10452322738386308,0.3374083129584352,0.10834670947030497,0.09230769230769231,0.016039017162612662,0.10290556900726393,0.10980392156862745,0.11363636363636363,0.125,staying,0.10989010989010989,0.09683794466403162,0.125,0.1346153846153846,0.09210526315789473,0.07232704402515723,0.10240963855421686,0.11758241758241758
738816,Society Rock (IRE),85,825,258,0.7042424242424242,6.64,3.1951515151515153,81.80979827089337,0.10303030303030303,0.31272727272727274,0.10843373493975904,0.09016393442622951,0.018269800513529527,0.10939907550077041,0.08530805687203792,0.04838709677419355,0.06060606060606061,sprint,0.15137614678899083,0.08548707753479125,0.0975609756097561,0.045454545454545456,0.06896551724137931,0.10625,0.14705882352941177,0.08924485125858124
739856,Bated Breath (GB),220,1862,653,0.7266380236305048,6.944414607948443,3.189044038668099,83.21849315068494,0.11815252416756176,0.3506981740064447,0.11603843311160385,0.1237721021611002,-0.00773366904949635,0.12232415902140673,0.12359550561797752,0.12666666666666668,0.10344827586206896,middle,0.12280701754385964,0.12447078746824725,0.07446808510638298,0.08108108108108109,0.07792207792207792,0.10198300283286119,0.09941520467836257,0.1362290227048371
739872,Planteur (IRE),14,77,34,0.7272727272727273,11.14935064935065,2.5324675324675323,96.703125,0.18181818181818182,0.44155844155844154,0.21428571428571427,0.09523809523809523,0.11904761904761904,0.0,0.06060606060606061,0.11764705882352941,0.36363636363636365,staying,0.0,0.16393442622950818,0.2727272727272727,0.5,0.4,0.2,0.07692307692307693,0.041666666666666664
740067,Lookin At Lucky (USA),2,23,6,0.6086956521739131,9.5,3.4782608695652173,79.89473684210526,0.08695652173913043,0.2608695652173913,0.07142857142857142,0.1111111111111111,-0.03968253968253968,0.2,0.1111111111111111,0.0,0.2,sprint,0.0,0.125,0.0,0.08695652173913043,0.0,0.3333333333333333,0.0,0.0625
